,fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
11259,114030,The Prohibition Lounge (Romford) Ltd,"17 Victoria Road, Romford",RM1 2JT,551533,188471.0,51.574754,0.185314,Havering
11260,114035,The Royal Oak,"North Road, Havering-Atte-Bower",RM4 1PP,551202,193259.0,51.617853,0.182602,Havering
11261,114037,The Saxon Horn,"Upminster Road North, Rainham",RM13 9RY,553526,182606.0,51.521511,0.211493,Havering
11262,114038,The Saxon King,"Petersfield Avenue, Romford",RM3 9PP,555020,191792.0,51.603635,0.237057,Havering
11263,114041,The Ship,"93 Main Road, Romford",RM2 5EL,552545,189867.0,51.587024,0.200497,Havering
11264,114046,The Sun,"47 London Road, Romford",RM7 9QA,550847,188489.0,51.57509,0.175429,Havering
11265,114047,The Sutton Arms,"14-16 Station Lane, Hornchurch",RM12 6NJ,554017,187048.0,51.561287,0.220507,Havering
11266,114052,The Vdub Tavern,"65a Station Lane, Hornchurch",RM12 6JU,554049,186816.0,51.559185,0.220866,Havering
11267,114053,The Victoria,"122 Victoria Road, Romford",RM1 2PA,551719,188527.0,51.575198,0.188005,Havering
11268,114054,The Windmill,"167 Upminster Road, Hornchurch",RM14 2RB,555253,186769.0,51.558442,0.2382,Havering
11269,114097,Upminster Masonic Hall Co Ltd,"Deyncourt Gardens, Upminster",RM14 1DF,556434,186948.0,51.559715,0.255302,Havering
11270,114103,V Bar,"197a High Street, Hornchurch",RM11 3XT,554233,187091.0,51.561606,0.223625,Havering
11271,114107,Vertigo Lounge,"17-19 Station Lane, Hornchurch",RM12 6JL,554055,186992.0,51.560774,0.22103,Havering
11272,114133,West Ham United Academy,"Rush Green Road, Romford",RM7 0LU,550133,187218.0,51.563861,0.164591,Havering
11273,114135,Wheatsheaf,"45 Wheatsheaf Road, Romford",RM1 2HD,551714,188164.0,51.571938,0.187791,Havering
11274,114149,Willow Farm PremierTravel  Inn,"New Road, Rainham",RM13 9ED,554589,181003.0,51.506819,0.226101,Havering
11275,114154,Winchesters,"119-121 Cross Road, Mawneys",RM7 8EA,549595,189987.0,51.588892,0.158014,Havering
11276,114164,World's Inn,"113-117 South Street, Romford",RM1 1NX,551376,188601.0,51.575964,0.183106,Havering
11277,114172,Yates Wine Lodge,"89 South Street, Romford",RM1 1NX,551376,188601.0,51.575964,0.183106,Havering
11278,114209,Airport Bowl,"Airport Bowl, Bath Road, Heathrow",UB3 5AL,509441,176960.0,51.481019,-0.425376,Hillingdon
11279,114229,Angel,"The Angel, 697 Uxbridge Road, Hayes",UB4 8HX,508713,181853.0,51.525129,-0.434349,Hillingdon
11280,114240,Arens Bar and Restaurant,"The Woodman Ph, Joel Street, Northwood",HA5 2PR,510377,189023.0,51.589259,-0.408125,Hillingdon
11281,114248,Ascott,"The Manor House Ph, 144 Field End Road, Ruislip",HA5 1RJ,510975,187911.0,51.579147,-0.399847,Hillingdon
11282,114270,B E C Club,"73 Pembroke Road, Ruislip",HA4 8NN,509888,187272.0,51.573617,-0.415742,Hillingdon
11283,114284,Bar Italia,"Bar Italia, 120 High Street, Uxbridge",UB8 1JT,505421,184376.0,51.548438,-0.481028,Hillingdon
11284,114293,Battle of Britain Club,"Battle Of Britain Club, Hillingdon Road, Uxbridge",UB10 0UF,506065,183187.0,51.537631,-0.472102,Hillingdon
11285,114336,Blues Bar,"Blues Bar, 5 Station Road, West Drayton",UB7 7BT,506022,180000.0,51.508985,-0.47368,Hillingdon
11286,114338,Bootlaces,"10-11 Broadway Parade, Coldharbour Lane, Hayes",UB3 3HE,510178,180250.0,51.510447,-0.413741,Hillingdon
11287,114363,Botwell Inn,"The Botwell Inn, 23-29 Coldharbour Lane, Hayes",UB3 3EB,509989,180014.0,51.508371,-0.416536,Hillingdon
11288,114374,Breakspear Arms,"Breakspear Arms, Breakspear Road South, Ickenham",UB9 6LT,507608,187861.0,51.57935,-0.448434,Hillingdon
11289,114377,Brickmakers Arms,"Brickmakers Arms, Horton Bridge Road, West Drayton",UB7 8JR,506725,180188.0,51.510551,-0.463497,Hillingdon
11290,114379,Bridge Bar and Eating House,"T4 (airside) Departures, Heathrow Airport",TW6 3XA,507938,174566.0,51.45979,-0.447742,Hillingdon
11291,114390,Brook House Football Club,"Brook House Football Club, Kingshill Avenue, Hayes",UB4 8BZ,509672,182660.0,51.532197,-0.42028,Hillingdon
11292,114440,Captain Morgans,"Captain Morgans, 9 Clayton Road, Hayes",UB3 1AX,509684,179592.0,51.504628,-0.421061,Hillingdon
11293,114441,Captain Morgans,"Captain Morgans Ph, 210 Field End Road, Ruislip",HA5 1RD,511086,187663.0,51.576896,-0.398325,Hillingdon
11294,114451,Carpenters Arms,"The Carpenters Arms, 1370 Uxbridge Road, Hayes",UB4 8JJ,508519,181989.0,51.526389,-0.437103,Hillingdon
11295,114454,Cat & Fiddle,"The Rowan Arms, 162 Rowan Road, West Drayton",UB7 7UF,506045,178666.0,51.496999,-0.473749,Hillingdon
11296,114466,Champers,"184 Field End Road, Ruislip",HA5 1RF,511046,187731.0,51.577515,-0.39888,Hillingdon
11297,114500,Coach & Horses,"2-4 High Road, Ickenham",UB10 8LJ,508010,186227.0,51.564586,-0.443137,Hillingdon
11298,114577,Crown,"Ye Olde Crowne, 1090 Uxbridge Road, Hayes",UB4 0RJ,509633,181614.0,51.522812,-0.421167,Hillingdon
11299,114578,Crown & Treaty,"Crown And Treaty House, 90 Oxford Road, Uxbridge",UB8 1LU,505184,184545.0,51.550002,-0.484395,Hillingdon
11300,114580,Crown Rivers,"(airside) Terminal 5, Wellington Road, London Heathrow Airport",TW6 2GA,505122,176008.0,51.47328,-0.487831,Hillingdon
11301,114607,De Burgh Arms Hotel,"De Burgh Arms Hotel, High Street, Yiewsley",UB7 7DQ,506020,180133.0,51.510181,-0.473684,Hillingdon
11302,114625,Diageo plc,"Commercial Unit Dcl15, Terminal 5 Departures Level, Wellington Road, London Heathrow Airport",TW6 2GA,505122,176008.0,51.47328,-0.487831,Hillingdon
11303,114648,Eastcote Cricket Club,"Eastcote Cricket Club, Southill Lane, Eastcote",HA5 2EG,510517,188952.0,51.588602,-0.406127,Hillingdon
11304,114655,Eastcote Royal British Legion,"British Legion Hall, Southbourne Gardens, Ruislip",HA4 9SQ,510756,187241.0,51.573168,-0.403218,Hillingdon
11305,114721,Five Tuns,"Departures Level, Terminal 5, Wellington Road, London Heathrow Airport",TW6 2GA,505122,176008.0,51.47328,-0.487831,Hillingdon
11306,114754,Gardeners Arms,"Gardeners Arms Ph, 119 Park Road, Uxbridge",UB8 1NW,506037,184217.0,51.546885,-0.472196,Hillingdon
11307,114758,General Elliott,"The General Elliott, St John's Road, Uxbridge",UB8 2UR,504749,183531.0,51.540969,-0.490982,Hillingdon
11308,114763,Geo Bar,"163 Field End Road, Ruislip",HA5 1QL,511036,187842.0,51.578524,-0.398989,Hillingdon
11309,114764,George & Dragon,"George And Dragon Ph, 176 High Street, Yiewsley",UB7 7BE,506003,180645.0,51.514794,-0.473759,Hillingdon
11310,114780,Goals Soccer Centre,"Goals Soccer Centre, Springfield Road, Hayes",UB4 0LP,511168,180199.0,51.509804,-0.399511,Hillingdon
11311,114831,Harefield Community Association,"Harefield Community Centre, Priory Avenue, Harefield",UB9 6AP,505142,189167.0,51.591562,-0.483618,Hillingdon
11312,114832,Harefield Cricket Club,"Harefield Cricket Club, Breakspear Road North, Harefield",UB9 6NE,505506,190451.0,51.603017,-0.477981,Hillingdon
11313,114833,Harefield Hospital Bowling Club,"The Bowls Pavilion, Hill End Road",UB9 6LD,505255,191163.0,51.609472,-0.48139,Hillingdon
11314,114842,Harefield United Football Club,"Harefield United Football Club, Breakspear Road North, Harefield",UB9 6NE,505506,190451.0,51.603017,-0.477981,Hillingdon
11315,114863,Hayes & Harlington Community Associa,"Albert Road, Hayes",UB3 4HR,509458,179299.0,51.502039,-0.424406,Hillingdon
11316,114864,Hayes & Harlington Conservative Asso,"Hayes Conservative Club, 141 Church Road, Hayes",UB3 2LE,509713,180577.0,51.513476,-0.420336,Hillingdon
11317,114866,Hayes Bowls Club,"Botwell Lane, Hayes",UB3 2AB,509785,179907.0,51.50744,-0.419508,Hillingdon
11318,114868,Hayes Cricket Club,"Wood End Green Road, Hayes",UB3 2SL,509171,181401.0,51.520978,-0.42789,Hillingdon
11319,114882,Hayes Rugby Football Club,"Kingshill Avenue Rugby Club, Kingshill Avenue, Hayes",UB4 8BZ,509672,182660.0,51.532197,-0.42028,Hillingdon
11320,114884,Hayes Working mens club,"Hayes Working Mens Club And Institute Limited, Pump Lane, Hayes",UB3 3NB,510203,179656.0,51.505112,-0.413566,Hillingdon
11321,114894,Hennessys Bar,"34-36 Victoria Road, Ruislip",HA4 0AG,510087,187146.0,51.572445,-0.412897,Hillingdon
11322,114901,Hillingdon Abbots RFC/FC,"Pole Hill Open Spaces, Raeburn Road",UB4 8PS,508622,183282.0,51.537999,-0.435219,Hillingdon
11323,114903,Hillingdon Athletic Club,"Hillingdon Athletics Club, 206 Bury Street, Ruislip",HA4 7TJ,508629,188532.0,51.585194,-0.433498,Hillingdon
11324,114904,Hillingdon Canal Club,"Hillingdon Canal Club, Waterloo Road, Uxbridge",UB8 2QX,505010,183689.0,51.54234,-0.487173,Hillingdon
11325,114906,Hillingdon Golf Club,"Hillingdon Golf Club, 18 Dorset Way, Uxbridge",UB10 0JR,506809,183199.0,51.537599,-0.461375,Hillingdon
11326,114910,Hillingdon Manor Cricket Club,"Coney Green, Uxbridge Road",UB10 0PN,507059,182884.0,51.53472,-0.457868,Hillingdon
11327,114923,Hole 19 Ltd,"Uxbridge Golf Course, The Drive, Ickenham",UB10 8AQ,506211,186566.0,51.567975,-0.468979,Hillingdon
11328,114947,Huxleys Bar,"Departures Level 2 (airside), Terminal 5, Wellington Road, London Heathrow Airport",TW6 2GA,505122,176008.0,51.47328,-0.487831,Hillingdon
11329,114960,Ickenham Cricket Club,"Ickenham Cricket Club Pavilion, Oak Avenue, Ickenham",UB10 8UT,507740,186837.0,51.57012,-0.446843,Hillingdon
11330,114969,Inhibitions Night Club,"The Woolpack Ph, Dawley Road, Hayes",UB3 1EJ,508873,180079.0,51.509171,-0.43259,Hillingdon
11331,114977,Ivy Leaf Club,"Ivy Leaf Club, Wimpole Road, West Drayton",UB7 7RJ,505814,180295.0,51.511684,-0.476588,Hillingdon
11332,114978,Ivy Leaf Memorial Club,"Ivy Leaf Club, 8 Wellington Road, Uxbridge",UB8 2AP,505323,183844.0,51.543666,-0.482601,Hillingdon
11333,114983,J J Moons,"J J Moons, 12 Victoria Road, Ruislip",HA4 0AA,510038,187255.0,51.573435,-0.413584,Hillingdon
11334,115032,King William,"King William Iv Ph, 392 Sipson Road, Sipson",UB7 0HT,507189,177905.0,51.489953,-0.457506,Hillingdon
11335,115034,Kings Arms,"The Kings Arms, 6 Park Lane, Harefield",UB9 6BJ,505113,190614.0,51.604564,-0.483604,Hillingdon
11336,115035,Kings Arms,"The Kings Arms, 593 Bath Road, Longford",UB7 0EG,504829,176690.0,51.479473,-0.491845,Hillingdon
11337,115082,Leon Restaurant,"T3 (landside) Departures, Heathrow Airport",TW6 1QG,507168,175727.0,51.470371,-0.458483,Hillingdon
11338,115094,Liquid & Envy,"233 High Street, Uxbridge",UB8 1LE,505913,183901.0,51.544077,-0.474078,Hillingdon
11339,115106,Lloyds No.1 Bar,"The Arena, 1 Bennetsfield Road, West Drayton",UB11 1AA,508047,180422.0,51.512395,-0.444384,Hillingdon
11340,115108,Loco's,"Hamilton Centre, Brunel University, Kingston Lane, Uxbridge",UB8 3PH,506023,182656.0,51.532857,-0.472868,Hillingdon
11341,115123,London's Pride (airside),"Commercial Unit D13, Terminal 2 The Queen's Terminal Departures Level, Inner Ring East, London Heathrow Airport",TW6 1EW,507777,175670.0,51.469743,-0.449722,Hillingdon
11342,115187,Mecca Bingo,"466-468 Uxbridge Road, Hayes",UB4 0SD,510509,181140.0,51.518381,-0.408694,Hillingdon
11343,115210,Misty Moon,"The Misty Moon Ph, 27 Green Lane, Northwood",HA6 2PX,509087,191538.0,51.612114,-0.425957,Hillingdon
11344,115244,Navnat Vanik Association,"Printing House Lane, Hayes",UB3 1AR,509366,180052.0,51.508833,-0.425498,Hillingdon
11345,115274,Northwood Central Club,"Northwood Central Club, Hallowell Road, Northwood",HA6 1DN,509314,191414.0,51.610947,-0.422719,Hillingdon
11346,115277,Northwood Cricket Club,"Cricket Ground, Rickmansworth Road",HA6 2NP,508120,191765.0,51.614341,-0.439861,Hillingdon
11347,115289,Northwood Town Cricket Club,"Chestnut Avenue, Northwood",HA6 1HR,509622,190534.0,51.602978,-0.418547,Hillingdon
11348,115323,Paddington Packet Boat,"Paddington Packet Boat, High Road, Cowley",UB8 2HT,505518,181298.0,51.520746,-0.480552,Hillingdon
11349,115436,Queens Head,"Queens Head Ph, 54 Windsor Street, Uxbridge",UB8 1AB,505458,184041.0,51.545421,-0.480595,Hillingdon
11350,115473,RNA Uxbridge,"Club House, 388b Long Lane, Uxbridge",UB10 9PG,507659,184741.0,51.551297,-0.448653,Hillingdon
11351,115490,Royal Naval Association,"Rear Of 388, Long Lane",UB10 9PG,507679,184723.0,51.551132,-0.448371,Hillingdon
11352,115504,Ruislip Manor Sports & Social Club,"Ruislip Manor Sports And Social Club Ltd, Grosvenor Vale, Ruislip",HA4 6JQ,509635,186757.0,51.569036,-0.419537,Hillingdon
11353,115506,Ruislip Rugby Football Club,"Ruislip Rugby Football Club, West End Road, Ruislip",HA4 6DR,509369,186780.0,51.569295,-0.423367,Hillingdon
11354,115521,Sahibs,"22 The Broadway, Joel Street, Northwood",HA6 1PF,510239,190471.0,51.602291,-0.409662,Hillingdon
11355,115539,Sapra Hospitality Catering Limited,"The Great Western, Dawley Road, Hayes",UB3 1NF,509041,178761.0,51.497293,-0.430578,Hillingdon
11356,115588,Six Bells,"Six Bells, Station Road, West Drayton",UB7 7ND,506304,179702.0,51.506271,-0.469707,Hillingdon
11357,115592,Slug & Lettuce,"219-221 High Street, Uxbridge",UB8 1LB,505733,184008.0,51.545073,-0.476641,Hillingdon
11358,115598,Soldiers Return,"The Soldiers Return, 65 High Road, Ickenham",UB10 8LG,508123,186600.0,51.567917,-0.441393,Hillingdon
11359,115619,St Georges Tavern,"St Georges Tavern, 68 Victoria Road, Ruislip",HA4 0AH,510118,187066.0,51.57172,-0.412475,Hillingdon
11360,115689,Swallow Inn,"The Swallow Ph, Long Lane, Uxbridge",UB10 9NR,507566,185016.0,51.553787,-0.44991,Hillingdon
11361,115694,Sweeny's,"101-103 High Street, Ruislip",HA4 8JN,509365,187252.0,51.573538,-0.423292,Hillingdon
11362,115740,The Bear on the Barge,"Horse & Barge Ph, Moorhall Road, Harefield",UB9 6PE,505272,188865.0,51.588823,-0.481833,Hillingdon
11363,115742,The Beldam,"Eastern Gateway Building, Brunel University, Kingston Lane, Uxbridge",UB8 3PH,506023,182656.0,51.532857,-0.472868,Hillingdon
11364,115743,The Bell Inn,"The Bell Inn, 298 West End Road, Ruislip",HA4 6LS,510035,186051.0,51.562614,-0.413989,Hillingdon
11365,115744,The Black Bull,"Black Bull, Victoria Road, Ruislip",HA4 0EF,510933,185941.0,51.561449,-0.401075,Hillingdon
11366,115745,The Black Horse,"The Black Horse Ph, Black Horse Parade, High Road, Eastcote",HA5 2EN,510516,188515.0,51.584666,-0.406293,Hillingdon
11367,115748,The Brookhouse,"Kingshill Avenue, Hayes",UB4 8BZ,509658,182655.0,51.532164,-0.420483,Hillingdon
11368,115753,The Case is Altered P.H,"The Case Is Altered, Southill Lane, Eastcote",HA5 2EQ,510587,189065.0,51.589595,-0.405081,Hillingdon
11369,115757,The Clubhouse,"Club House, Middlesex Stadium, Breakspear Road, Ruislip",HA4 7SB,508180,188707.0,51.586853,-0.439922,Hillingdon
11370,115759,The Crown,"The Crown, High Street, Harmondsworth",UB7 0AJ,505772,177741.0,51.488736,-0.477972,Hillingdon
11371,115760,The Crown,"The Crown Ph, High Street, Cowley",UB8 2NL,505385,182439.0,51.531026,-0.482127,Hillingdon
11372,115761,The Crown P H,"Colham Green Road, Uxbridge",UB8 3QH,507153,181561.0,51.522811,-0.456915,Hillingdon
11373,115763,The Dolphin,"The Dolphin, Rockingham Road, Uxbridge",UB8 2UB,504956,183890.0,51.544157,-0.487877,Hillingdon
11374,115764,The Emerald Rooms - Bar,"Gaelic Athletic Association, West End Road, Ruislip",HA4 6QX,511060,184615.0,51.549497,-0.399662,Hillingdon
11375,115765,The Emerald Rooms (Function Rooms),"Gaelic Athletic Association, West End Road, Ruislip",HA4 6QX,511060,184615.0,51.549497,-0.399662,Hillingdon
11376,115767,The Fairway,"Ruislip Golf Centre, Ickenham Road, Ruislip",HA4 7DQ,508695,187073.0,51.572059,-0.432997,Hillingdon
11377,115769,The Fig Tree,"The Fig Tree Ph, 49 Windsor Street, Uxbridge",UB8 1AB,505458,184041.0,51.545421,-0.480595,Hillingdon
11378,115772,The Five Bells,"The Five Bells, High Street, Harmondsworth",UB7 0AQ,505752,177790.0,51.48918,-0.478231,Hillingdon
11379,115773,The Flying Chariot (landside departures),"Commercial Unit C4, Terminal 2 The Queen's Terminal Check-In Level, Inner Ring East, London Heathrow Airport",TW6 1EW,507777,175670.0,51.469743,-0.449721,Hillingdon
